dteday,yr,holiday,workingday,temp,atemp,hum,windspeed,casual,registered,cnt,isDaylight,isNoon,relative_temp,relative_atemp,relative_hum,relative_windspeed,Wend_RushHour_High,Wend_RushHour_Med,Wend_RushHour_Low,Wday_RushHour_High,Wday_RushHour_Med,Wday_RushHour_Low,season_fall,season_spring,season_summer,season_winter,weathersit_Acceptable,weathersit_Bad,weathersit_Chaos,weathersit_Good,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_6,weekday_0,weekday_1,weekday_5,weekday_4,weekday_3,weekday_2,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5
2011-01-01,0,0,0,0.22,0.2727,0.8,0.0,2,0,2,False,False,-1.2909944487358103,-0.41067112397624744,0.7925939239012157,-0.4082482904638631,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.2,0.2576,0.86,0.0,1,2,3,True,False,-2.939873661036667,-1.6975643452549214,2.828427124746191,-0.37796447300922725,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.24,0.2879,0.75,0.0,1,7,8,True,False,0.8400268812903083,1.0497175802303889,-1.0377490433255419,-0.35355339059327373,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.32,0.3485,0.76,0.0,8,6,14,True,False,6.270696725795358,5.732372433829176,-0.6647843099684926,-0.3333333333333333,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.38,0.3939,0.76,0.2537,12,24,36,True,False,4.4510437419793,4.284211616477041,-0.619388588862349,8.637676724884031,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.36,0.3333,0.81,0.2836,26,30,56,True,True,2.080625946441196,0.9649337257129253,0.8102434340134084,3.213729945629365,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.42,0.4242,0.77,0.2836,29,55,84,True,True,2.7080128015453186,3.1030615151141943,-0.37827163638621913,2.2144369194999345,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.46,0.4545,0.72,0.2985,47,47,94,True,True,2.6105590043165683,2.797839312663992,-1.8353086946398187,1.922404665094024,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.46,0.4545,0.72,0.2836,35,71,106,True,False,2.0415509743421785,2.133942821915816,-1.5798242922198846,1.5233450166466598,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.44,0.4394,0.77,0.2985,40,70,110,True,False,1.5214905732253594,1.5830077832643887,-0.10437883709948845,1.4766099967752813,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
