instant,dteday,yr,holiday,workingday,temp,atemp,hum,windspeed,casual,registered,cnt,isDaylight,isNoon,relative_temp,relative_atemp,relative_hum,relative_windspeed,Wday_RushHour_High,Wday_RushHour_Med,Wday_RushHour_Low,Wend_RushHour_High,Wend_RushHour_Med,Wend_RushHour_Low,season_fall,season_spring,season_summer,season_winter,weathersit_Acceptable,weathersit_Bad,weathersit_Chaos,weathersit_Good,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,hr_0,hr_1,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_2,hr_3
48,2011-01-03,0,0,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,False,False,-1.6119021896446089,-2.1877356944699193,-2.120148949525069,1.3198304019793123,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2011-01-03,0,0,1,0.2,0.1667,0.44,0.4179,0,2,2,False,False,-1.7904200607318264,-2.457331471335183,-2.004705984559492,1.788473401871629,False,False,True,False,False,True,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2011-01-03,0,0,1,0.16,0.1364,0.47,0.3881,0,1,1,False,False,-2.1806050469176683,-2.66843083123634,-1.7153167499529762,1.4672788019455527,False,False,True,False,False,True,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2011-01-03,0,0,1,0.16,0.1364,0.47,0.2836,0,3,3,False,False,-2.0613937669196254,-2.468795699588865,-1.6496055305358626,0.565361502172839,False,False,True,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2011-01-03,0,0,1,0.14,0.1061,0.5,0.3881,0,30,30,False,False,-2.177167119339702,-2.646586597550747,-1.406538744022186,1.4206228377935537,False,False,True,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2011-01-03,0,0,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64,True,False,-2.0627802663468557,-2.1377015082074378,-1.3669460301408334,-0.20674524843968878,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2011-01-03,0,0,1,0.14,0.1212,0.5,0.2836,1,153,154,True,False,-1.964770441147355,-2.1860532755874416,-1.3305362239291776,0.5346263406775923,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2011-01-03,0,0,1,0.16,0.1364,0.43,0.3881,7,81,88,True,False,-1.6809450338574132,-1.9241160758202542,-1.7169809353348806,1.3965553942455051,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2011-01-03,0,0,1,0.18,0.1667,0.43,0.2537,11,33,44,True,False,-1.4284815408354625,-1.551821965791888,-1.6569491635951854,0.25238095722620574,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2011-01-03,0,0,1,0.2,0.1818,0.4,0.3284,10,41,51,True,True,-1.196659776346578,-1.3613816267133148,-1.7771174098355236,0.8707751836543305,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
